,first_stock,second_stock,from_date,from_signal,To_date,To_signal,Hedge Ratio
0,AMAT,AVGO,2024-3-21,0.0,2024-3-22,-1.0,-6.371637474938018
1,LRCX,NXPI,2024-3-21,0.0,2024-3-22,1.0,-0.25779318971629017
2,LULU,WDAY,2024-3-21,1.0,2024-3-22,-1.0,-0.6051990718500364
3,LULU,PANW,2024-3-21,1.0,2024-3-22,0.0,-0.6415064055252799
4,LULU,ROP,2024-3-21,1.0,2024-3-22,-1.0,-1.1994500934476289
5,LULU,VRTX,2024-3-21,1.0,2024-3-22,-1.0,-0.9080386968074625
6,MNST,ORLY,2024-3-21,0.0,2024-3-22,-1.0,-18.405176590669104
7,GFS,LULU,2024-3-21,-1.0,2024-3-22,1.0,-8.572054065334376
8,LULU,MELI,2024-3-21,1.0,2024-3-22,-1.0,-3.4174935600987073
9,GFS,MELI,2024-3-21,1.0,2024-3-22,0.0,-29.244339520647443
10,AMAT,LRCX,2024-3-21,0.0,2024-3-22,-1.0,-4.6405981285992945
11,FANG,VRTX,2024-3-21,1.0,2024-3-22,0.0,-2.2422591103190515
12,LULU,VRSK,2024-3-21,1.0,2024-3-22,-1.0,-0.5182530777903136
13,ADSK,AVGO,2024-3-21,1.0,2024-3-22,0.0,-4.983586817319846
14,CTSH,LULU,2024-3-21,-1.0,2024-3-22,1.0,-5.987972264813836
15,ISRG,MDLZ,2024-3-21,0.0,2024-3-22,-1.0,-0.18507442938659235
16,EA,LULU,2024-3-21,-1.0,2024-3-22,1.0,-3.3580032673198246
17,ADSK,CRWD,2024-3-21,0.0,2024-3-22,1.0,-1.239351961860661
