,s1,s2,p-value
195,GEHC,PAYX,0.0
200,GEHC,QCOM,0.0
201,GEHC,REGN,0.0
202,GEHC,ROP,0.0
203,GEHC,ROST,0.0
204,GEHC,SBUX,0.0
174,GEHC,LIN,0.0
205,GEHC,SIRI,0.0
206,GEHC,SNPS,0.0
207,GEHC,TEAM,0.0
208,GEHC,TMUS,0.0
173,GEHC,KLAC,0.0
209,GEHC,TSLA,0.0
210,GEHC,TTD,0.0
211,GEHC,TTWO,0.0
212,GEHC,TXN,0.0
213,GEHC,VRSK,0.0
214,GEHC,VRTX,0.0
199,GEHC,PYPL,0.0
198,GEHC,PEP,0.0
175,GEHC,LRCX,0.0
197,GEHC,PDD,0.0
181,GEHC,MELI,0.0
182,GEHC,META,0.0
183,GEHC,MNST,0.0
178,GEHC,MCHP,0.0
184,GEHC,MRNA,0.0
185,GEHC,MRVL,0.0
186,GEHC,MSFT,0.0
187,GEHC,MU,0.0
215,GEHC,WBA,0.0
188,GEHC,NFLX,0.0
189,GEHC,NVDA,0.0
190,GEHC,NXPI,0.0
191,GEHC,ODFL,0.0
192,GEHC,ON,0.0
193,GEHC,ORLY,0.0
194,GEHC,PANW,0.0
176,GEHC,LULU,0.0
196,GEHC,PCAR,0.0
177,GEHC,MAR,0.0
180,GEHC,MDLZ,0.0
179,GEHC,MDB,0.0
216,GEHC,WBD,0.0
166,GEHC,IDXX,0.0
165,GEHC,HON,0.0
164,GEHC,GOOGL,0.0
167,GEHC,ILMN,0.0
162,GEHC,GILD,0.0
168,GEHC,INTC,0.0
163,GEHC,GOOG,0.0
169,GEHC,INTU,0.0
170,GEHC,ISRG,0.0
171,GEHC,KDP,0.0
219,GEHC,ZS,0.0
218,GEHC,XEL,0.0
217,GEHC,WDAY,0.0
161,GEHC,GFS,0.0
172,GEHC,KHC,0.0
270,IDXX,MCHP,2.5999128683118956e-05
26,ADSK,COST,7.93217571127415e-05
258,GOOG,GOOGL,0.00011385977086173627
345,NFLX,ORLY,0.00023663028066565013
269,HON,TSLA,0.00041243170003336536
267,GOOGL,TTWO,0.000988522457924214
262,GOOG,TTWO,0.000996974467920306
300,LRCX,MAR,0.0014683530611156186
3,ABNB,AMD,0.001696117253893258
379,TTD,VRSK,0.0020070416128387847
320,MCHP,MNST,0.0020963063858799318
335,MNST,NFLX,0.0022175283128307373
19,ADI,MDLZ,0.0022638781808419235
159,FAST,MU,0.002725363505440453
7,ABNB,LRCX,0.0028282472361108577
350,NFLX,VRTX,0.002883192983436219
55,AMAT,LIN,0.002888330749699881
17,ADI,IDXX,0.002966715392849686
128,DASH,MU,0.0030495669151869515
257,GILD,SBUX,0.0032442279555647095
107,CTSH,INTC,0.0034079530497028395
100,CTAS,NFLX,0.0037849066850143475
377,SNPS,VRTX,0.0038474535783741895
16,ADI,CCEP,0.0039044964165363353
271,IDXX,MDLZ,0.003983614112048376
43,ADSK,TMUS,0.004070731037396017
102,CTAS,VRTX,0.004175776609350625
31,ADSK,FAST,0.004234415133099669
310,LULU,ROP,0.004331714940043128
122,DASH,FAST,0.00445294492902433
33,ADSK,KLAC,0.004617038052874865
14,ADI,ANSS,0.005077246995598335
303,LRCX,NXPI,0.005208459035991532
151,EXC,TMUS,0.005242762371861007
88,CEG,FANG,0.005270095012206755
69,AVGO,LRCX,0.005418682798183751
326,MDB,TTWO,0.005455404217642043
242,GFS,PEP,0.005560274007503431
158,FAST,MAR,0.005935245702544888
