Date,x,y,hr,zScore,numUnits,cum rets
2022-02-16 00:00:00-05:00,78.93053436279297,91.9689712524414,-1.1737667666479297,-1.374,1.0,1.0034773924780755
2022-02-17 00:00:00-05:00,76.63334655761719,89.39801788330078,-1.1716005480548894,-1.186,1.0,1.005103752378925
2022-02-18 00:00:00-05:00,75.71063232421875,88.99510192871094,-1.1703357868257909,-0.771,1.0,1.0094612065436326
2022-02-22 00:00:00-05:00,74.93208312988281,88.9663314819336,-1.1702050217984556,-0.321,1.0,1.0145117628016085
2022-02-23 00:00:00-05:00,72.1351089477539,87.21080017089844,-1.1717991410585484,0.449,0.0,1.0226782988943501
2022-02-24 00:00:00-05:00,72.63492584228516,86.33782196044922,-1.1721782560428329,-0.384,0.0,1.0226782988943501
2022-02-25 00:00:00-05:00,75.36692810058594,89.0430679321289,-1.1718016570283827,-0.624,0.0,1.0226782988943501
2022-02-28 00:00:00-05:00,74.69116973876953,89.13899993896484,-1.1721834444848396,-0.166,0.0,1.0226782988943501
2022-03-01 00:00:00-05:00,73.00175476074219,85.86775970458984,-1.171406812747921,-0.847,0.0,1.0226782988943501
2022-03-02 00:00:00-05:00,74.43052673339844,89.4364013671875,-1.1723376172456064,0.166,0.0,1.0226782988943501
2022-03-03 00:00:00-05:00,74.227783203125,89.42679595947266,-1.173762602517365,0.212,0.0,1.0226782988943501
2022-03-04 00:00:00-05:00,71.81436157226562,87.85353088378906,-1.1764362111815676,0.775,0.0,1.0226782988943501
2022-03-07 00:00:00-05:00,66.67854309082031,87.91108703613281,-1.1852872459225954,3.163,-1.0,1.0226782988943501
2022-03-08 00:00:00-05:00,66.42754364013672,89.88726806640625,-1.1971421281385872,3.142,-1.0,1.0139055430371644
2022-03-09 00:00:00-05:00,69.98013305664062,90.54918670654297,-1.2052359863723607,1.376,-1.0,1.0376770749678796
2022-03-10 00:00:00-05:00,69.58433532714844,90.88494873046875,-1.2128325203140957,1.4,-1.0,1.0360557068970973
2022-03-11 00:00:00-05:00,69.98013305664062,89.21574401855469,-1.2176298212303323,0.458,-1.0,1.050302217977719
2022-03-14 00:00:00-04:00,69.256103515625,88.56341552734375,-1.2217547308454553,0.435,-1.0,1.050627916954275
2022-03-15 00:00:00-04:00,69.38159942626953,88.8799819946289,-1.225627023170816,0.378,-1.0,1.0512340982341326
2022-03-16 00:00:00-04:00,71.66954040527344,89.94483184814453,-1.227401233924423,-0.33,0.0,1.0617250606719926
2022-03-17 00:00:00-04:00,73.18517303466797,91.60443115234375,-1.2284024447963402,-0.43,0.0,1.0617250606719926
2022-03-18 00:00:00-04:00,74.05401611328125,93.05298614501953,-1.2295545602573184,-0.313,0.0,1.0617250606719926
2022-03-21 00:00:00-04:00,74.09263610839844,94.20414733886719,-1.2317700514783234,0.041,0.0,1.0617250606719926
2022-03-22 00:00:00-04:00,74.36294555664062,94.03147888183594,-1.233520756246605,-0.205,0.0,1.0617250606719926
2022-03-23 00:00:00-04:00,73.3106918334961,93.3311996459961,-1.235647651255038,-0.013,0.0,1.0617250606719926
2022-03-24 00:00:00-04:00,73.65821838378906,93.7916488647461,-1.2377232863872571,-0.031,0.0,1.0617250606719926
2022-03-25 00:00:00-04:00,74.42086029052734,94.50155639648438,-1.2393939384799941,-0.135,0.0,1.0617250606719926
2022-03-28 00:00:00-04:00,73.69682312011719,94.22334289550781,-1.241479829257378,0.091,0.0,1.0617250606719926
2022-03-29 00:00:00-04:00,75.29934692382812,95.02916717529297,-1.2422975727205512,-0.41,0.0,1.0617250606719926
2022-03-30 00:00:00-04:00,73.88990020751953,94.95240783691406,-1.2444814448770933,0.188,0.0,1.0617250606719926
2022-03-31 00:00:00-04:00,71.03239440917969,94.06025695800781,-1.249471554379475,1.068,0.0,1.0617250606719926
2022-04-01 00:00:00-04:00,72.161865234375,94.41521453857422,-1.2536146939510824,0.492,0.0,1.0617250606719926
2022-04-04 00:00:00-04:00,72.28738403320312,94.30008697509766,-1.2570098553635578,0.25,0.0,1.0617250606719926
2022-04-05 00:00:00-04:00,70.47248077392578,92.6308822631836,-1.260629567689863,0.35,0.0,1.0617250606719926
2022-04-06 00:00:00-04:00,67.75011444091797,92.266357421875,-1.2671686035522256,1.39,0.0,1.0617250606719926
2022-04-07 00:00:00-04:00,67.29637908935547,91.98815155029297,-1.274195282917266,1.247,0.0,1.0617250606719926
